keeper,duplicate,distance
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2018/Jun/video_1920x1080_79.3M_0min27sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_79.3M_0min27sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2018/May/video_1920x1080_19.2M_0min6sec_4.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_19.2M_0min6sec_4.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2018/May/video_1920x1080_30.3M_0min11sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_30.3M_0min11sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2018/May/video_1920x1080_35.4M_0min12sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_35.4M_0min12sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Aug/video_1920x1080_19.0M_0min12sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_19.0M_0min12sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Apr/video_1920x1080_87.7M_0min54sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_87.7M_0min54sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Dec/video_1920x1080_243.3M_2min5sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_243.3M_2min5sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Dec/video_1920x1080_60.5M_0min20sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_60.5M_0min20sec.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Feb/video_1920x1080_44.6M_0min15sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_44.6M_0min15sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2019/Jan/video_1080x1920_11.3M_0min15sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1080x1920_11.3M_0min15sec_2.mp4,0
